Call ID,Scenario Name,Expected Outcome,Actual Transcript,Extracted Name,Extracted Service,Extracted Time,n8n Webhook & DB Status,Overall Status (Pass/Fail/Warning),AI Suggestions & Improvements,Counsel Suggestions
7918555,Scenario 73: Complaint - English - Cooperative - Text_Whatsapp,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I visited your studio yesterday. 
 LLM: I don’t have information about yesterday’s visit. What would you like help with regarding DynamicDetailing Studio? 
 
 user: I got a exterior wash done. 
 LLM: Got it. What would you like help with regarding the exterior wash? 
 
 user: The job was terrible. 
 LLM: I’m sorry, that shouldn’t have happened. I’ve flagged your concern for our manager to review; please share your phone number so they can call you back. 
 
 user: My car is ruined with scratches. 
 LLM: That shouldn’t have happened. I’ve flagged this urgently for our manager; please share your ten-digit phone number so they can call you back. 
 
 user: I want someone to fix this right now. 
 LLM: I understand you’re frustrated. I’ve escalated this to our manager for urgent follow-up. Please share your ten-digit phone number so they can contact you. 
 
 user: Connect me to your manager immediately. 
 LLM: I understand you’re frustrated. I can’t transfer calls directly, but I’ve flagged this for our manager. Please share your ten-digit phone number so they can call you back.",,Exterior wash service was requested.,,N/A (No Name Expected),,,[Action Item: Verify {caller_number} payload is correctly populated by OmniDimension for incoming WhatsApp messages] [Action Item: Verify {caller_number} payload is correctly populated by OmniDimension for incoming WhatsApp messages]
7894993,Scenario 74: Complaint - English - Cooperative - Voice_High_Acc,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Hey! 
 LLM: Hello! DynamicDetailing Studio nunchi Siri. Em help kavali cheppandi! 
 
 user: I got a ceramic coating done yesterday and it looks terrible. There are swirl marks everywhere. 
 LLM: I’m sorry, that shouldn’t have happened. I’ve flagged this with our manager, and they’ll call you back shortly to sort it out. 
 
 user: I want a refund or someone to fix this right now. 
 LLM: I can’t process refunds directly. I’ve flagged this for our manager, who will contact you about the refund or correction.",,Refund or correction for ceramic coating.,,N/A (No Name Expected),,,
7919241,Scenario 75: Complaint - English - Cooperative - Voice_Low_Acc,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I visited your studio 
 LLM: Oh, nice! Meeru studio ki visit ayyara. Mee visit gurinchi emaina help kavala? 
 
 user: I got a wash done 
 LLM: Okay, wash cheyinchukunnara. Service gurinchi feedback ivvala, leda inkemaina help kavala? 
 
 user: job was terrible 
 LLM: I’m sorry, that shouldn’t have happened. I’ve flagged this for our manager to review and call you back. Please share your phone number so they can reach you. 
 
 user: My car is ruined with 
 LLM: That sounds serious, and it shouldn’t have happened. I’ve noted your concern; please share the damage details and your phone number so our manager can call you back. 
 
 user: I want someone to fix right now 
 LLM: I understand you’re frustrated. I can’t arrange an immediate repair directly, but I’ve alerted our manager to call you back. Please share your phone number and the damage details. 
 
 user: Connect me to your immediately 
 LLM: I understand you’re frustrated. I can’t transfer calls directly, but I’ve alerted our manager to call you back. Please share your phone number so they can reach you.",Not provided,Car wash,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7918877,Scenario 76: Complaint - English - Angry - Text_Whatsapp,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I visited your studio yesterday 
 LLM: Oh, okay. Ninna studio visit chesara—em help kavali? 
 
 user: I got a ceramic coating done 
 LLM: Got it. Ceramic coating gurinchi emaina issue unda, leda follow-up kavala? 
 
 user: The job was terrible 
 LLM: I’m sorry, that shouldn’t have happened. I’ve flagged this for our manager to review and contact you. Please share your ten-digit WhatsApp number. 
 
 user: My car is ruined with scratches 
 LLM: That shouldn’t have happened—sorry. I’ve flagged this as a complaint for our manager to review and contact you. Please share your ten-digit WhatsApp number. 
 
 user: I want someone to fix this right now 
 LLM: I understand you’re frustrated. I’ve escalated this to our manager for a callback. Please share your ten-digit WhatsApp number so they can contact you. 
 
 user: Connect me to your manager immediately 
 LLM: I understand you’re frustrated. I can’t transfer calls directly, but I’ve flagged this as a complaint for our manager to call you back. Please share your ten-digit WhatsApp number.",,Ceramic coating was done on the user's car.,,N/A (No Name Expected),,,
7919677,Scenario 77: Complaint - English - Angry - Voice_High_Acc,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I visited your studio yesterday 
 LLM: I don’t have information about yesterday’s visit. Could you tell me what you need help with regarding it? 
 
 user: I got a interior cleaning done I want this fixed NOW 
 LLM: I understand you’re frustrated. I’ve noted the issue with yesterday’s interior cleaning, and our manager will call you back shortly to sort it out. 
 
 user: The job was terrible 
 LLM: I understand your frustration. I’ve flagged this with our manager, who will call you back shortly to sort it out. 
 
 user: My car is ruined with scratches 
 LLM: I’m sorry this happened. I’ve escalated your complaint about the scratches to our manager, who will call you back shortly. 
 
 user: I want someone to fix this right now 
 LLM: I understand you’re frustrated. I’ve noted your request, and our manager will call you back shortly. 
 
 user: Connect me to your manager immediately 
 LLM: I understand. I’ve noted your request, and our manager will call you back shortly.",Not provided,Interior cleaning service.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7919942,Scenario 78: Complaint - English - Angry - Voice_Low_Acc,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I your studio yesterday 
 LLM: Sorry, naaku yesterday visit gurinchi information ledu. Meeru em help kavali cheppandi? 
 
 user: I got a exterior wash done I want this NOW 
 LLM: Understood. Exterior wash related ga em kavali—complaint aa, leka malli service book cheyala? 
 
 user: The was terrible 
 LLM: That’s not acceptable, and I’m sorry. I’ve flagged your complaint for our manager to call you back and sort it out. 
 
 user: My car is ruined with 
 LLM: I’m sorry, that shouldn’t have happened. Please complete the sentence—what was your car ruined with? 
 
 user: I want to fix this right now 
 LLM: I understand you want this fixed immediately. I’ve alerted our manager, who will contact you to handle the issue. 
 
 user: Connect me to manager immediately 
 LLM: I’ve flagged this as urgent for our manager. They’ll contact you shortly to sort it out.",,Exterior wash service.,,N/A (No Name Expected),,,
7920073,Scenario 79: Complaint - English - Troll - Text_Whatsapp,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I visited your studio yesterday. 
 LLM: I don’t have information about what happened at the studio yesterday. Could you tell me what you’d like help with? 
 
 user: I got a full detailing done. LOL just kidding. 
 LLM: Haha, got me there! I can help with DynamicDetailing services or appointments. What would you like to know?",Not provided,full detailing,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7920224,Scenario 80: Complaint - English - Troll - Voice_High_Acc,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I visited your studio yesterday 
 LLM: I don’t have information about what happened at the studio yesterday. Could you tell me what you’d like help with? 
 
 user: I got a PPF done LOL just kidding 
 LLM: Haha, got it. If you need any genuine information about our PPF service or want to book an appointment, tell me.",Not provided,PPF service,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7920384,Scenario 81: Complaint - English - Troll - Voice_Low_Acc,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I your studio yesterday 
 LLM: I didn’t quite catch that. Are you saying you visited our studio yesterday, or would you like help with a service? 
 
 user: I got a interior cleaning done just kidding 
 LLM: Got it—you had interior cleaning done yesterday. How can I help with it?",,interior cleaning,,N/A (No Name Expected),,,
7920804,Scenario 82: Complaint - English - Elderly - Text_Whatsapp,Handle complaint multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I visited your studio yesterday. 
 LLM: I don’t have information about yesterday’s visit. Could you tell me what you’d like help with regarding it? 
 
 user: I got a full detailing done. Please speak slowly, I don't understand technology. 
 LLM: Sure, I’ll speak slowly and keep it simple. What would you like help with regarding your full detailing? 
 
 user: The job was terrible. 
 LLM: I’m sorry, that shouldn’t have happened. I’ve noted your complaint, and our manager will call you back shortly. 
 
 user: My car is ruined with scratches. 
 LLM: That shouldn’t have happened. I’ve noted the scratches, and our manager will call you back shortly. 
 
 user: I want someone to fix this right now. 
 LLM: I understand you’re frustrated. I’ve flagged this for our manager, who will call you back shortly. 
 
 user: Connect me to your manager immediately. 
 LLM: I understand you’re frustrated. I can’t transfer calls directly, but I’ve flagged this for our manager to call you back shortly.",Not provided,Full detailing service,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
