Call ID,Scenario Name,Expected Outcome,Actual Transcript,Extracted Name,Extracted Service,Extracted Time,n8n Webhook & DB Status,Overall Status (Pass/Fail/Warning),AI Suggestions & Improvements,Counsel Suggestions
7943314,Scenario 109: Out_Of_Bounds - English - Cooperative - Text_Whatsapp,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you guys do repairs? 
 LLM: We only offer car detailing services like *headlight restoration*, exterior wash, interior cleaning, ceramic coating, PPF, and full detailing packages. We don’t handle general repairs. Emaina detailing service kavala? 
 
 user: My car engine won't start. 
 LLM: I can’t help with engine repairs. Please contact a qualified mechanic or roadside assistance for immediate help. 
 
 user: Can you send a mechanic? 
 LLM: Sorry, we can’t arrange a mechanic or roadside assistance. Please contact a qualified mechanic or your roadside assistance provider.",Not provided,Repairs for car engine.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7943495,Scenario 110: Out_Of_Bounds - English - Cooperative - Voice_High_Acc,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you guys do repairs 
 LLM: We only handle car detailing services like exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, and full detailing packages. Repairs are not available. Inkemaina help kavala? 
 
 user: My car engine won't start 
 LLM: I can only help with DynamicDetailing Studio queries. For an engine issue, please contact a qualified mechanic or roadside assistance. 
 
 user: Can you send a mechanic 
 LLM: I can’t arrange a mechanic. Please contact roadside assistance or a qualified mechanic for help with your car.",Not provided,Repairs,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7943678,Scenario 111: Out_Of_Bounds - English - Cooperative - Voice_Low_Acc,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: you guys do repairs 
 LLM: We only handle car detailing services, not repairs. We offer exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, and full detailing packages. Inkemaina help kavala? 
 
 user: My engine won't start 
 LLM: I can’t help with engine repairs. Please contact a qualified mechanic or roadside assistance. 
 
 user: Can send a mechanic 
 LLM: I can’t arrange a mechanic. Please contact a qualified mechanic or roadside assistance for help with the engine.",Not provided,Repairs,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7943801,Scenario 112: Out_Of_Bounds - English - Angry - Text_Whatsapp,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you guys do repairs? 
 LLM: We only handle car detailing services like exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, and full detailing packages. For repairs, please contact a repair garage. Anything else I can help with? 
 
 user: My car engine won't start. I want this fixed NOW! 
 LLM: I’m sorry, but I can’t help with engine repairs. Please contact a roadside assistance service or mechanic immediately. 
 
 user: Can you send a mechanic? 
 LLM: I can only help with DynamicDetailing Studio services, and we don’t arrange mechanic visits. Please contact a roadside assistance service or local mechanic.",,repairs,,N/A (No Name Expected),,,
7943894,Scenario 113: Out_Of_Bounds - English - Angry - Voice_High_Acc,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you guys do repairs 
 LLM: We only handle car detailing services, not repairs. We offer exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, and full detailing packages. Inkemaina help kavala? 
 
 user: My car engine won't start I want this fixed NOW 
 LLM: I can't help with emergency or repair issues. Please contact a qualified mechanic or the relevant emergency services immediately. 
 
 user: Can you send a mechanic 
 LLM: I can only help with DynamicDetailing Studio’s car detailing services. Please contact a qualified mechanic or roadside-assistance service for your engine issue.",,repairs,,N/A (No Name Expected),,,
7943989,Scenario 114: Out_Of_Bounds - English - Angry - Voice_Low_Acc,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you do repairs 
 LLM: We only handle car detailing services, not repairs. We offer exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, and full detailing packages. Inkemaina help kavala? 
 
 user: My car engine start I want this fixed NOW 
 LLM: I can only help with DynamicDetailing Studio detailing queries. For an engine issue, please contact a qualified mechanic or roadside assistance immediately. 
 
 user: Can you send mechanic 
 LLM: I can’t arrange a mechanic. Please contact roadside assistance or a qualified mechanic directly for the engine issue.",,User requested mechanic services for car engine repair.,,N/A (No Name Expected),,,
7944077,Scenario 115: Out_Of_Bounds - English - Troll - Text_Whatsapp,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you guys do repairs? 
 LLM: We only handle car detailing services, not repairs. We offer *exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration,* and *full detailing packages*. Inkemaina help kavala? 
 
 user: My car engine won't start. LOL just kidding. 
 LLM: Haha, you got me! I can only help with DynamicDetailing services. Need any detailing information?",Not provided,car detailing services,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7945189,Scenario 116: Out_Of_Bounds - English - Troll - Voice_High_Acc,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you guys do repairs 
 LLM: We only handle car detailing services, not repairs. Maa daggara exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, and full detailing packages available. Inkemaina help kavala? 
 
 user: My car engine won't start LOL just kidding 
 LLM: Haha, good one! Engine repairs maa service lo levu, but detailing kosam help chestha. Inkemaina help kavala?",Not provided,car detailing services,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7945319,Scenario 117: Out_Of_Bounds - English - Troll - Voice_Low_Acc,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you do repairs 
 LLM: We only handle car detailing services, not mechanical or body repairs. We offer exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, and full detailing packages. Would you like information about any of these? 
 
 user: My engine won't start LOL just kidding 
 LLM: Haha, you got me! I can only help with DynamicDetailing’s car detailing services. Need info about any service?",,,,N/A (No Name Expected),,,
7945526,Scenario 118: Out_Of_Bounds - English - Elderly - Text_Whatsapp,Handle out_of_bounds multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Do you guys do repairs? 
 LLM: We don’t handle general car repairs. We specialise in *exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration,* and *full detailing packages*.  
Mee car ki detailing service kavala? 
 
 user: My car engine won't start. Please speak slowly, I don't understand technology. 
 LLM: I’m sorry, we don’t handle engine repairs. Please contact a qualified mechanic or roadside-assistance service. 
 
 user: Can you send a mechanic? 
 LLM: We don’t arrange mechanic visits. Please contact a local mechanic or roadside-assistance service for help with the engine.",Not provided,engine repairs,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
