Call ID,Scenario Name,Expected Outcome,Actual Transcript,Extracted Name,Extracted Service,Extracted Time,n8n Webhook & DB Status,Overall Status (Pass/Fail/Warning),AI Suggestions & Improvements,Counsel Suggestions
7897815,Scenario 37: Discount - English - Cooperative - Text_Whatsapp,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: My number is 98765. 
 LLM: That seems like only *5 digits*. Could you share your full *10-digit WhatsApp number*? 
 
 user: Oh sorry, let me give the full number: 9805700974. 
 LLM: Your WhatsApp number is *98057 00974*, correct?",Not provided,Not provided,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7908331,Scenario 38: Discount - English - Cooperative - Voice_High_Acc,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What is the price for exterior wash? 
 LLM: *Exterior wash* price *₹499*. Inkemaina help kavala? 
 
 user: That seems a bit high. 
 LLM: Artham ayyindi. Currently *₹499* ye price; discounts available levu. Inkemaina help kavala? 
 
 user: Can you give me a discount? 
 LLM: Sorry, discounts currently available levu. *Exterior wash* price *₹499*. Inkemaina help kavala? 
 
 user: I saw a 50% offer online. 
 LLM: I understand. Maa daggara ippudu *discounts or offers available levu*. Online lo kanipinchina offer gurinchi team tho confirm cheyinchali ante, mee vehicle details share cheyandi. 
 
 user: Can you apply that? 
 LLM: Sorry, online offer ni nenu apply cheyalenu. Maa daggara discounts available levu; exterior wash price *₹499*. Inkemaina help kavala? 
 
 user: What about a combo offer? 
 LLM: Combo offers available levu. Maa daggara exterior wash *₹499*, interior cleaning *₹799* nunchi services unnayi. Inkemaina help kavala? 
 
 user: thanks 
 LLM: Thank you! Have a great day!",,Exterior wash,,N/A (No Name Expected),,,
7908736,Scenario 39: Discount - English - Cooperative - Voice_Low_Acc,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What is the price for PPF 
 LLM: *PPF* starts at *₹19,999*. Exact price vehicle condition and coverage batti marutundi. Inkemaina details kavala, leda appointment book cheyamantaraa? 
 
 user: That seems a bit high 
 LLM: Artham avuthundi—PPF starting price *₹19,999* kabatti konchem high anipinchachu. Discounts available levu; exact quote vehicle condition and coverage batti team confirm chestaru. Inkemaina help kavala? 
 
 user: Can you give me a discount 
 LLM: Sorry, discounts currently available levu. PPF starting price *₹19,999*; exact quote vehicle condition and coverage batti team confirm chestaru. Inkemaina help kavala? 
 
 user: I saw a 50% offer online 
 LLM: Aa offer gurinchi na daggara verified information ledu. Manager team tho confirm chesi meeku reply ippistaru; PPF starting price *₹19,999*. Inkemaina help kavala? 
 
 user: Can you apply that 
 LLM: Aa offer ni nenu apply cheyalenu. Discounts currently available levu; manager team tho verify chesi meeku confirm chestaru. Inkemaina help kavala? 
 
 user: What about a combo offer 
 LLM: Combo offers available levu. *PPF* starts at *₹19,999*, and *ceramic coating* starts at *₹9,999*. Inkemaina help kavala? 
 
 user: thank you 
 LLM: Thank you! Have a great day!",,User requested information about PPF pricing and discounts.,,N/A (No Name Expected),,,
7909109,Scenario 40: Discount - English - Angry - Text_Whatsapp,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: is the price for ceramic coating 
 LLM: *Ceramic coating* starts at *₹9,999*. Exact price vehicle condition and coverage batti marutundi. Inkemaina help kavala? 
 
 user: That seems a high 
 LLM: Avunu, starting price konchem high anipinchavachu. Ceramic coating starts at *₹9,999*; exact quote vehicle condition and coverage batti team confirm chestaru. Inkemaina help kavala? 
 
 user: Can you give a discount 
 LLM: Sorry, discounts available levu. Ceramic coating *₹9,999* nunchi start avutundi. Inkemaina help kavala? 
 
 user: I saw 50% offer online 
 LLM: I understand. Maa daggara currently discounts or offers available levu. Online offer gurinchi exact ga confirm cheyadaniki manager meeku call back chestaru. 
 
 user: Can you that 
 LLM: Sorry, mee message clear ga ardham kaaledu. Meeru manager callback gurinchi adugutunnara, leka ceramic coating booking gurinchi? 
 
 user: What about a combo 
 LLM: Combo pricing available ani verified information naa daggara ledu. Ceramic coating *₹9,999* nunchi, PPF *₹19,999* nunchi start avutayi; exact combined quote vehicle condition and coverage batti team cheptaru. Inkemaina help kavala? 
 
 user: thank you 
 LLM: Thank you! Have a great day!",,Ceramic coating,,N/A (No Name Expected),,,
7909491,Scenario 41: Discount - English - Angry - Voice_High_Acc,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What is the price for PPF? 
 LLM: *PPF* starts at *₹19,999*. Exact price vehicle condition and coverage batti marutundi. Inkemaina help kavala? 
 
 user: That seems a bit high. I want this fixed NOW! 
 LLM: I understand you're frustrated. I’ve flagged this for our manager to call you back and sort it out. Please share your 10-digit WhatsApp number. 
 
 user: Can you give me a discount? 
 LLM: I’m sorry, discounts aren’t available. *PPF* starts at *₹19,999*. The manager can discuss your concern when they call you back. 
 
 user: I saw a 50% offer online. 
 LLM: I don’t have verified details about that offer, and discounts aren’t currently available here. Our manager can verify it and get back to you. Inkemaina help kavala? 
 
 user: Can you apply that? 
 LLM: I can’t apply discounts. Discounts aren’t currently available at DynamicDetailing Studio. The manager can verify the online offer and follow up with you. Inkemaina help kavala? 
 
 user: What about a combo offer? 
 LLM: No combo offers are available. *PPF* starts at *₹19,999*, and *ceramic coating* starts at *₹9,999*. Inkemaina help kavala?",,User requested PPF service.,,N/A (No Name Expected),,,
7909871,Scenario 42: Discount - English - Angry - Voice_Low_Acc,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What is the price for ceramic coating 
 LLM: *Ceramic coating* starts at *₹9,999*. Exact price vehicle condition and coverage batti marutundi. Inkemaina details kavala or appointment book cheyala? 
 
 user: That seems a bit high I want this fixed NOW 
 LLM: I understand you’re frustrated. I’ve flagged this for our manager to review urgently, and they’ll contact you shortly. Inkemaina help kavala? 
 
 user: Can you give me a discount 
 LLM: Sorry, discounts aren’t available. Ceramic coating starts at *₹9,999*. Inkemaina help kavala? 
 
 user: I saw a 50% offer online 
 LLM: I can’t verify that offer, and no discounts are currently available at DynamicDetailing Studio. The ceramic coating starting price is *₹9,999*. Inkemaina help kavala? 
 
 user: Can you apply that 
 LLM: I can’t apply discounts directly, and no discounts are currently available. The ceramic coating starting price is *₹9,999*. Inkemaina help kavala? 
 
 user: What about a combo offer 
 LLM: We don’t have combo offers available. Ceramic coating starts at *₹9,999*, and PPF starts at *₹19,999*. Inkemaina help kavala?",,Ceramic coating,,N/A (No Name Expected),,,
7910107,Scenario 43: Discount - English - Troll - Text_Whatsapp,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What the price for interior cleaning 
 LLM: *Interior cleaning* price *₹799*. Appointment required. Inkemaina help kavala? 
 
 user: That seems a bit high I want this fixed 
 LLM: I understand. *₹799* is the listed price for interior cleaning, and discounts aren’t available. If there’s a service issue you want fixed, please describe what happened. 
 
 user: Can you give a discount 
 LLM: Sorry, discounts are not available. *Interior cleaning* is *₹799*. Would you like to know anything else? 
 
 user: I a 50% offer online 
 LLM: I can’t verify that offer here. I’ve flagged it for the team to confirm. Could you share the link or screenshot of the offer? 
 
 user: Can you that 
 LLM: I didn’t quite catch that. Could you rephrase what you’d like me to do? 
 
 user: What about a combo 
 LLM: We don’t have listed combo packages or discounts. Our *full detailing* package starts at *₹3,499*. Inkemaina help kavala?",Not provided,Interior cleaning,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,[Action Item: Prompt Optimization needed to prevent AI from actively requesting images/screenshots in text chat] [Action Item: Prompt Optimization needed to prevent AI from actively requesting images/screenshots in text chat]
7910234,Scenario 44: Discount - English - Troll - Voice_High_Acc,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What is the price for interior cleaning? 
 LLM: *Interior cleaning* price *₹799*. Appointment required. Inkemaina help kavala? 
 
 user: That seems a bit high. LOL just kidding. 
 LLM: Haha, baaga joke chesaru! *Interior cleaning* price *₹799* ye. Appointment kavala?",Not provided,Interior cleaning,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7910371,Scenario 45: Discount - English - Troll - Voice_Low_Acc,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What is the price for ceramic coating 
 LLM: *Ceramic coating* starts at *₹9,999*. Exact price vehicle condition and coverage batti marutundi. Inkemaina help kavala? 
 
 user: That seems a bit high LOL just kidding 
 LLM: Haha, avunu, ceramic coating premium service kabatti price konchem high anipinchachu. Inkemaina help kavala?",Not provided,Ceramic coating,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7910520,Scenario 46: Discount - English - Elderly - Text_Whatsapp,Handle discount multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: What the price for interior cleaning 
 LLM: *Interior cleaning* price *₹799*. Inkemaina help kavala? 
 
 user: That seems a bit high just kidding 
 LLM: Haha, parledhu! *Interior cleaning* price *₹799*. Inkemaina help kavala?",,interior cleaning,,N/A (No Name Expected),,,
