Call ID,Scenario Name,Expected Outcome,Actual Transcript,Extracted Name,Extracted Service,Extracted Time,n8n Webhook & DB Status,Overall Status (Pass/Fail/Warning),AI Suggestions & Improvements,Counsel Suggestions
7952968,Scenario 289: Modification - English - Cooperative - Text_Whatsapp,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for PPF. 
 LLM: Got it. Mee PPF booking gurinchi em help kavali—confirm cheyala, reschedule cheyala, leka vere details kavala? 
 
 user: It is scheduled for today at 2 PM. 
 LLM: Mee PPF appointment ivala 2:00 PM ki undani cheptunnaru. Danni confirm cheyala, reschedule cheyala, leka vere detail kavala? 
 
 user: I want to change it. 
 LLM: PPF booking ni reschedule cheyyadaniki *7893 6865 81* ki call cheyyandi. Inkemaina help kavala? 
 
 user: Can we move it to 5 PM instead? 
 LLM: *5:00 PM* bookable slot kaadu; last slot *4:30 PM*. PPF appointment ni modify cheyadaniki *7893 6865 81* ki call cheyyandi. Inkemaina help kavala? 
 
 user: Is 5 PM available? 
 LLM: *5:00 PM* bookable slot kaadu; last available slot *4:30 PM*. Same-day *4:30 PM* leda next morning slot kosam *7893 6865 81* ki call cheyyandi. Inkemaina help kavala? 
 
 user: Please confirm the new time. 
 LLM: 5:00 PM slot confirm cheyyalem—last bookable slot *4:30 PM*. Existing booking ni modify cheyadaniki *7893 6865 81* ki call cheyyandi.",Not provided,User has booked PPF service.,User prefers to reschedule to 5 PM.,[FAILED] 'Not provided' missing from Google Sheet,,,
7952985,Scenario 290: Modification - English - Cooperative - Voice_High_Acc,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for exterior wash 
 LLM: Sure, I can help with your exterior wash booking. Would you like to check, reschedule, or cancel it? 
 
 user: It is scheduled for today at 2 PM 
 LLM: Got it — your exterior wash booking is scheduled for today at 2:00 PM. What would you like help with regarding this booking? 
 
 user: I want to change it 
 LLM: I can’t modify bookings directly. Please call *7893686581* to reschedule. 
 
 user: Can we move it to 5 PM instead 
 LLM: *5:00 PM* is not a bookable slot. The latest appointment time is *4:30 PM*. Please call *7893 6865 81* to reschedule your exterior wash booking. 
 
 user: Is 5 PM available 
 LLM: No, *5:00 PM* is not a bookable appointment slot. The latest available slot is *4:30 PM*. 
 
 user: Please confirm the new time 
 LLM: I can’t confirm a booking change directly. *5:00 PM* isn’t bookable; please call *7893 6865 81* to reschedule your *exterior wash* appointment to the latest available slot, *4:30 PM*.",,Exterior wash,5 PM,N/A (No Name Expected),,,
7953001,Scenario 291: Modification - English - Cooperative - Voice_Low_Acc,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have booking for exterior wash 
 LLM: Sure, mee exterior wash booking gurinchi em help kavali? Booking details confirm cheyala, leka modify or cancel cheyala? 
 
 user: It is scheduled for today 2 PM 
 LLM: Mee exterior wash appointment ivala, 2:00 PM ki schedule ayyindani ardham ayyindi. Confirm cheyala, leka reschedule cheyala? 
 
 user: I want to change 
 LLM: Sure. Exterior wash appointment ni reschedule cheyadaniki, please call *7893686581*. 
 
 user: Can we move it to 5 PM 
 LLM: *5:00 PM* bookable slot kaadu; appointments *9:00 AM–4:30 PM* madhya matrame untayi. *4:30 PM* slot ki move cheyala? 
 
 user: Is 5 available 
 LLM: No, *5:00 PM* appointment slot available kaadu. Bookable slots *9:00 AM to 4:30 PM* varaku untayi; reschedule cheyadaniki *7893 6865 81* ki call cheyandi. 
 
 user: Please confirm the new 
 LLM: Mee exterior wash booking ni *4:30 PM* ki move cheyala? Confirm chesthe, next step lo proceed chestha.",Not provided,Exterior wash,4:30 PM,[FAILED] 'Not provided' missing from Google Sheet,,,
7953025,Scenario 292: Modification - English - Angry - Text_Whatsapp,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for interior cleaning. 
 LLM: Got it. Mee booking gurinchi exact ga em help kavali—confirm cheyyala, reschedule cheyyala, leka cancel cheyyala? 
 
 user: It is scheduled for today at 2 PM. I want this fixed NOW! 
 LLM: I understand you’re frustrated. Interior cleaning booking ni today 2 PM nunchi change cheyyala, cancel cheyyala, leka vere slot ki reschedule cheyyala? 
 
 user: I want to change it. 
 LLM: I’m sorry, I can’t modify bookings directly. I’ve flagged this for our manager to call you back and help reschedule your interior cleaning appointment. 
 
 user: Can we move it to 5 PM instead? 
 LLM: *5:00 PM is outside our bookable appointment hours.* The last available slot is *4:30 PM*. I can note your request for the manager to help reschedule your interior cleaning booking. 
 
 user: Is 5 PM available? 
 LLM: *5:00 PM is not a bookable slot.* Our appointment hours are *9:00 AM to 4:30 PM*. The closest available option is *4:30 PM*; shall I note that for the manager? 
 
 user: Please confirm the new time. 
 LLM: Your booking hasn’t been changed yet. *5:00 PM isn’t bookable*; the latest slot is *4:30 PM*. The manager will call you back to confirm the reschedule.",,Interior cleaning appointment.,User prefers to change the booking to 5 PM but is informed it's not available.,N/A (No Name Expected),,,
7953041,Scenario 293: Modification - English - Angry - Voice_High_Acc,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for exterior wash 
 LLM: Sure, mee exterior wash booking gurinchi em help kavali? Booking details check cheyala, leka reschedule/cancel cheyala? 
 
 user: It is scheduled for today at 2 PM I want this fixed NOW 
 LLM: I understand you’re frustrated. I’ve flagged this for our manager to call you back about your exterior wash booking. 
 
 user: I want to change it 
 LLM: I can’t modify bookings directly. Please call *7893686581* to reschedule your exterior wash appointment. Inkemaina help kavala? 
 
 user: Can we move it to 5 PM instead 
 LLM: Bookable slots are available only until *4:30 PM*. You can choose the nearest same-day slot at *4:30 PM*, or call *7893686581* to reschedule. Would you like the 4:30 PM slot? 
 
 user: Is 5 PM available 
 LLM: *5:00 PM* is not a bookable slot. The latest available slot is *4:30 PM*. Would you like to reschedule to *4:30 PM*? 
 
 user: Please confirm the new time 
 LLM: I can’t confirm a booking change directly. Please call *7893686581* to confirm the new time. Inkemaina help kavala?",,Exterior wash,4:30 PM,N/A (No Name Expected),,,
7953055,Scenario 294: Modification - English - Angry - Voice_Low_Acc,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for ceramic 
 LLM: Sure, ceramic coating booking gurinchi help chestha. Mee booking date, time, leka reschedule/cancellation gurinchi telusukovala? 
 
 user: It is scheduled for today at 2 PM I want this NOW 
 LLM: I can’t modify bookings directly. Please call *7893686581* to reschedule or request an earlier slot. 
 
 user: I to change it 
 LLM: I can’t modify bookings directly. Please call *7893686581* to reschedule your ceramic coating appointment. Inkemaina help kavala? 
 
 user: Can we it to 5 PM instead 
 LLM: *5:00 PM* is outside our bookable hours. The latest appointment slot is *4:30 PM*. Please call *7893 6865 81* to reschedule your ceramic coating appointment. Inkemaina help kavala? 
 
 user: 5 PM available 
 LLM: *5:00 PM* bookable kaadu. Latest available slot *4:30 PM* varake. Mee ceramic coating booking ni *4:30 PM* ki change cheyyaala? 
 
 user: Please confirm the time 
 LLM: Mee ceramic coating appointment ki latest bookable time *4:30 PM* varake. Existing booking ni nenu modify cheyalenu; reschedule kosam *7893 6865 81* ki call cheyandi. Inkemaina help kavala?",,Ceramic coating appointment.,4:30 PM is the latest available time.,N/A (No Name Expected),,,
7953061,Scenario 295: Modification - English - Troll - Text_Whatsapp,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for PPF. 
 LLM: Sure, mee PPF booking gurinchi em help kavali — details confirm cheyala, leka reschedule/cancel cheyala? 
 
 user: It is scheduled for today at 2 PM. LOL just kidding. 
 LLM: Ha ha, got it! PPF booking ki related ga emaina help kavala?",,PPF,today at 2 PM,N/A (No Name Expected),,,
7953067,Scenario 296: Modification - English - Troll - Voice_High_Acc,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for ceramic coating 
 LLM: Sure. Mee ceramic coating booking gurinchi em help kavali—details confirm cheyala, leda reschedule cheyala? 
 
 user: It is scheduled for today at 2 PM LOL just kidding 
 LLM: Haha, got it! Ceramic coating booking gurinchi inkemaina help kavala?",,ceramic coating,2 PM today,N/A (No Name Expected),,,
7953070,Scenario 297: Modification - English - Troll - Voice_Low_Acc,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking full detailing 
 LLM: Sure, mee *full detailing* booking gurinchi help kavala? Booking ni modify or cancel cheyadaniki *7893 6865 81* ki call cheyandi. 
 
 user: It is scheduled for today 2 PM LOL just kidding 
 LLM: Got it — if you want to book *full detailing*, it starts at *₹3,499*. Appointment slots are available from *9:00 AM to 4:30 PM*. What date and time would you prefer?",Not provided,full detailing,2 PM today,[FAILED] 'Not provided' missing from Google Sheet,,,
7953080,Scenario 298: Modification - English - Elderly - Text_Whatsapp,Handle modification multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I have a booking for ceramic coating. 
 LLM: Got it. Mee ceramic coating booking gurinchi em help kavali—confirm cheyala, reschedule cheyala, leka details telusukovala? 
 
 user: It is scheduled for today at 2 PM. Please speak slowly, I don't understand technology. 
 LLM: Sure. మీ ceramic coating appointment ఇవాళ, September sixteen, afternoon two o’clock కి ఉందని చెప్తున్నారు. నేను booking details ఇక్కడ verify చేయలేను; DynamicDetailing Studio కి call చేసి confirm చేయండి: seven eight nine three six eight six five eight one. 
 
 user: I want to change it. 
 LLM: I can’t modify bookings directly. Please call *7893686581* to reschedule your ceramic coating appointment. Inkemaina help kavala? 
 
 user: Can we move it to 5 PM instead? 
 LLM: Five PM bookable కాదు; appointments evening four thirty వరకే ఉంటాయి. Reschedule చేయడానికి *7893686581* కి call చేయండి. Inkemaina help kavala? 
 
 user: Is 5 PM available? 
 LLM: *5:00 PM* bookable slot కాదు. Appointments *9:00 AM–4:30 PM* మధ్య మాత్రమే ఉంటాయి; reschedule చేయడానికి *7893 6865 81* కి call చేయండి. Inkemaina help kavala? 
 
 user: Please confirm the new time. 
 LLM: I can’t modify or confirm booking changes directly. *5:00 PM* bookable కాదు; reschedule కోసం *7893 6865 81* కి call చేయండి. Inkemaina help kavala?",,Ceramic coating,5 PM,N/A (No Name Expected),,,
