Call ID,Scenario Name,Expected Outcome,Actual Transcript,Extracted Name,Extracted Service,Extracted Time,n8n Webhook & DB Status,Overall Status (Pass/Fail/Warning),AI Suggestions & Improvements,Counsel Suggestions
7902295,Scenario 397: Unsupported_Media - English - Cooperative - Text_Whatsapp,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Mee car scratch gurinchi konchem describe cheyandi—scratch light ga unda, deep ga unda, leka paint kuda peel ayyinda? 
 
 user: Can you fix this scratch? How much will it cost? 
 LLM: We offer scratch-related help through *headlight restoration* at *₹799* and *full detailing* from *₹3,499*. Scratch repair itself isn’t listed with a fixed price, so the team needs to inspect the vehicle and quote it. You can send the scratch details or visit our studio in Jubilee Hills, Hyderabad.",Not provided,User requested scratch repair services.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7902408,Scenario 398: Unsupported_Media - English - Cooperative - Voice_High_Acc,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Scratch gurinchi konchem describe cheyandi—headlight restoration or detailing service kavala? 
 
 user: Can you fix this scratch How much will it cost 
 LLM: Exact price vehicle condition and scratch depth batti marutundi. *Full detailing* starts at *₹3,499*; team vehicle ni inspect chesi exact quote cheptaru. Appointment required—details teesukuni team nunchi call cheyistanu; WhatsApp number share chestara?",Not provided,User requested a service to fix a scratch on their car.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7902506,Scenario 399: Unsupported_Media - English - Cooperative - Voice_Low_Acc,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Could you describe the scratches and tell me what service you need? 
 
 user: Can fix this scratch How much will it cost 
 LLM: Exact price depends on the scratch depth and vehicle condition. *Headlight restoration* is *₹799*, but scratch repair isn’t among our listed fixed-price services; our team can inspect it and confirm the quote. *Appointment required.* Inkemaina help kavala?",Not provided,Scratch repair and possibly headlight restoration.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7902603,Scenario 400: Unsupported_Media - English - Angry - Text_Whatsapp,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Scratch repair or detailing gurinchi kavala? 
 
 user: Can you fix this scratch? How much will it cost? I want this fixed NOW! 
 LLM: I can help with detailing-related options, but I can’t assess the scratch from the photo here. Exact pricing depends on the scratch severity and repair scope; please call *7893 6865 81* for an immediate assessment.",,Scratch repair or detailing service requested.,,N/A (No Name Expected),,,
7902698,Scenario 401: Unsupported_Media - English - Angry - Voice_High_Acc,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Scratch gurinchi konchem describe cheyandi—headlight restoration, paint correction, or full detailing information kavala? 
 
 user: Can you fix this scratch How much will it cost I want this fixed NOW 
 LLM: I can’t assess the exact repair cost from the photo. Scratch repair isn’t listed as a fixed-price service, so the team needs to inspect the car; I’ve flagged this as urgent for the manager to contact you.",,Scratch repair service requested.,,N/A (No Name Expected),,,
7902793,Scenario 402: Unsupported_Media - English - Angry - Voice_Low_Acc,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a car] 
 LLM: Thanks for the photo! I can't view images yet. Could you describe what you need? 
 
 user: Can you fix this scratch How much will it cost I want this fixed 
 LLM: I can help with detailing, but I can’t assess the scratch from the photo. The exact price depends on the scratch depth and repair needed; please describe it or have the team inspect the car at the studio.

Would you like to book an inspection?",Not provided,Detailing service for scratch repair.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7902886,Scenario 403: Unsupported_Media - English - Troll - Text_Whatsapp,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Please describe the scratches and tell me what service you’re looking for. 
 
 user: Can you fix this scratch? How much will it cost? LOL just kidding. 
 LLM: Haha, got me! Scratch repair isn’t listed among our services, but headlight restoration and full detailing are available. *Full detailing starts at ₹3,499*. Exact pricing depends on the vehicle’s condition. Inkemaina help kavala?",Not provided,User inquired about scratch repair and cost.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7902977,Scenario 404: Unsupported_Media - English - Troll - Voice_High_Acc,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Scratch gurinchi konchem describe cheyandi—detailing service information kavala? 
 
 user: Can you fix this scratch How much will it cost LOL just kidding 
 LLM: Exact price photo batti cheppalenu. Headlight restoration *₹799*; full detailing *₹3,499* nunchi start avutundi. Scratch correction ki vehicle condition batti team quote istaru—appointment kavala?",,Scratch correction and detailing services.,,N/A (No Name Expected),,,
7903066,Scenario 405: Unsupported_Media - English - Troll - Voice_Low_Acc,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched 
 LLM: Thanks for the photo! I can’t view images yet. Scratch issue gurinchi konchem describe cheyandi. 
 
 user: Can you fix this scratch How much will it LOL just kidding 
 LLM: Haha, got me! Scratch repair service maa listed services lo ledu, kani headlight restoration and full detailing available unnayi. Inkemaina help kavala?",Not provided,"Scratch repair service, headlight restoration, and full detailing.",Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7903164,Scenario 406: Unsupported_Media - English - Elderly - Text_Whatsapp,Handle unsupported_media multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: [Sends a photo of a scratched car] 
 LLM: Thanks for the photo! I can’t view images yet. Could you describe the scratches and tell me what service you’re looking for? 
 
 user: Can you fix this scratch? How much will it cost? Please speak slowly, I don't understand technology. 
 LLM: Yes, we can help with scratch-related detailing, but the exact cost depends on the scratch depth and vehicle condition. Headlight restoration is *₹799*, while full detailing starts at *₹3,499*; please describe whether the scratch is on the paint, bumper, or glass for a better direction.",Not provided,User requested scratch-related detailing service.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
