Call ID,Scenario Name,Expected Outcome,Actual Transcript,Extracted Name,Extracted Service,Extracted Time,n8n Webhook & DB Status,Overall Status (Pass/Fail/Warning),AI Suggestions & Improvements,Counsel Suggestions
7896946,Scenario 325: Address - English - Cooperative - Text_Whatsapp,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located? 
 LLM: Our studio is at *DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana*. Want the Google Maps link? 
 
 user: Is it far from Gachibowli? 
 LLM: Distance traffic and exact starting point batti marutundi. Maa studio *Jubilee Hills, Hyderabad* lo undi; directions kosam *Google Maps link* kavala? 
 
 user: Send me a location pin on WhatsApp. 
 LLM: I can’t send a WhatsApp location pin directly. Our studio is at *DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana*. Would you like the Google Maps link?",Not provided,Not provided,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7896968,Scenario 326: Address - English - Cooperative - Voice_High_Acc,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located 
 LLM: Our studio is at *DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana*. Would you like the Google Maps link? 
 
 user: Is it far from Gachibowli 
 LLM: Gachibowli nunchi exact distance cheppalenu, traffic mariyu route batti marutundi. Mee kosam directions kosam Google Maps link kavala? 
 
 user: Send me a location pin on WhatsApp 
 LLM: WhatsApp lo location pin పంపలేను. Studio address: *DynamicDetailing Studio, Jubilee Hills, Hyderabad*. Google Maps link available ledu; directions kosam *7893 6865 81* ki call cheyandi.",Not provided,Not provided,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7897002,Scenario 327: Address - English - Cooperative - Voice_Low_Acc,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located? 
 LLM: DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana lo undi. Directions kosam WhatsApp lo Google Maps link kavala? 
 
 user: Is it far from Gachibowli? I want this fixed NOW! 
 LLM: I understand you want this sorted immediately. Jubilee Hills distance from Gachibowli depends on your exact starting point and traffic; our manager will contact you to help. 
 
 user: Send me a location pin on WhatsApp. 
 LLM: Sure. Please share your *10-digit WhatsApp number* so the team can send the location pin.",,,,N/A (No Name Expected),,,
7897022,Scenario 328: Address - English - Angry - Text_Whatsapp,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located 
 LLM: DynamicDetailing Studio Jubilee Hills, Hyderabad, Telangana lo undi. Directions kosam WhatsApp lo share cheyagalanu. Inkemaina help kavala? 
 
 user: Is it far from Gachibowli I want this fixed NOW 
 LLM: I understand this is urgent. The studio is in Jubilee Hills, but I can’t reliably estimate travel distance from Gachibowli without your exact starting point. Our manager has been alerted and will follow up about the fix. Inkemaina help kavala? 
 
 user: Send me a location pin on WhatsApp 
 LLM: I can share the studio address, but a Google Maps link isn’t available right now. DynamicDetailing Studio is in Jubilee Hills, Hyderabad. Would you like the team to send directions on WhatsApp? Inkemaina help kavala?",Not provided,Fix for a service issue.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7897042,Scenario 329: Address - English - Angry - Voice_High_Acc,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your located 
 LLM: DynamicDetailing Studio Jubilee Hills, Hyderabad, Telangana lo undi. Directions kosam WhatsApp lo location link pampinchala? 
 
 user: Is it far from Gachibowli I want fixed NOW 
 LLM: DynamicDetailing Studio *Jubilee Hills, Hyderabad* lo undi. Gachibowli nunchi exact distance or travel time cheppalenu; Google Maps lo route check cheskondi. Fixed booking kosam service, date, time, name, and WhatsApp number share cheyandi. 
 
 user: Send me location pin on WhatsApp 
 LLM: Location pin WhatsApp lo pampinchadaniki mee *10-digit WhatsApp number* share cheyandi. Exact Google Maps link available ledu, kani studio address *DynamicDetailing Studio, Jubilee Hills, Hyderabad*.",Not provided,User requests fixed services right now.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7897056,Scenario 330: Address - English - Angry - Voice_Low_Acc,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located? 
 LLM: DynamicDetailing Studio, *Jubilee Hills, Hyderabad, Telangana* lo undi. Directions kosam WhatsApp lo share cheyamantara? 
 
 user: Is it far from Gachibowli? LOL just kidding. 
 LLM: Haha, ardham ayyindi! Nenu exact distance cheppalenu, kani Gachibowli nunchi Jubilee Hills varaku traffic batti travel time maarutundi. Inkemaina help kavala?",,,,N/A (No Name Expected),,,
7897071,Scenario 331: Address - English - Troll - Text_Whatsapp,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located 
 LLM: Our studio is at *DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana*. Want the Google Maps link? 
 
 user: Is it far from Gachibowli LOL just kidding 
 LLM: Haha, Gachibowli nunchi exact distance cheppalenu. Maa studio *Jubilee Hills, Hyderabad* lo undi. Directions kosam Google Maps link kavala?",,,,N/A (No Name Expected),,,
7897085,Scenario 332: Address - English - Troll - Voice_High_Acc,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: is your studio located 
 LLM: Yes, our studio is located at *DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana*. Want the Google Maps link? 
 
 user: Is it far Gachibowli LOL just kidding 
 LLM: Haha, got it! Gachibowli nunchi exact distance traffic batti marutundi. Maa studio *Jubilee Hills, Hyderabad* lo undi. Inkemaina help kavala?",Not provided,Not provided,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7897095,Scenario 333: Address - English - Troll - Voice_Low_Acc,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located? 
 LLM: Our studio is at *DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana*. Inkemaina help kavala? 
 
 user: Is it far from Gachibowli? Please speak slowly, I don't understand technology. 
 LLM: It may be a moderate distance from Gachibowli, but travel time depends on traffic. The studio is in *Jubilee Hills, Hyderabad*. I can share directions on WhatsApp if you send your number. Inkemaina help kavala? 
 
 user: Send me a location pin on WhatsApp. 
 LLM: I can’t send a location pin directly. We don’t have a Google Maps link available yet, but the studio is at *DynamicDetailing Studio, Jubilee Hills, Hyderabad*. Inkemaina help kavala?",Not provided,Location pin on WhatsApp,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7897112,Scenario 334: Address - English - Elderly - Text_Whatsapp,Handle address multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: Where is your studio located 
 LLM: Our studio is located at *DynamicDetailing Studio, Jubilee Hills, Hyderabad, Telangana*. Would you like the Google Maps link? 
 
 user: Is it far from Gachibowli Please speak slowly I don't understand technology 
 LLM: DynamicDetailing Studio, Jubilee Hills, Hyderabad lo undi. Gachibowli nunchi exact distance naaku verify cheyyalenu; Google Maps lo location chusi travel time confirm cheskondi. 
 
 user: Send me a location pin on WhatsApp 
 LLM: I can’t send a WhatsApp location pin directly. You can message *7893 6865 81* for directions.",Not provided,User requested location pin for the studio.,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
